gene,lfc
Notch1,4.187542163
Fat1,3.883480727
Myh2,2.003018782
Trp53,1.817542311
Notch2,1.468546275
Ryr3,1.440953045
Xirp2,1.331976359
Adgrl2,1.040036273
Ush2a,0.89877608
Ttn,0.886306894
Cfh,0.818806604
Cdh10,0.80291438
Prex2,0.774189731
Myh1,0.766456844
Hmcn1,0.765090361
Spag17,0.744459354
Ros1,0.670772229
Mroh2b,0.644878065
Zfhx4,0.641205827
Magi2,0.588437346
Dscam,0.460692803
Spta1,0.458910342
Fgf15,0.428063112
Peg3,0.382032778
Zfp78,0.371654859
Erich3,0.357098866
Vps13b,0.356853517
Pkhd1,0.325424396
Dnah10,0.294622334
Pcdh11x,0.291801192
Muc4,0.28654389
P3h2,0.278476916
Nav3,0.274715636
Muc2,0.267676993
Pcdh15,0.267560597
Ahnak,0.211423644
Col22a1,0.209904591
Ahnak2,0.185933427
Akap9,0.167064841
Pkhd1l1,0.159695956
Erbb4,0.157565071
Fgf3,0.153116634
Kmt2c,0.106632883
Zfp804b,0.078700254
Sphkap,0.056137332
Cdh2,0.013722374
Vcan,-0.009396711
Unc13c,-0.058293241
Tet1,-0.060290594
Adgrb3,-0.073547228
Kmt2d,-0.1212342
Fat3,-0.137830645
Aff3,-0.172796536
Slit2,-0.173114129
Fam135b,-0.175964409
Pak7,-0.177873303
Zfp831,-0.178000599
Runx1t1,-0.200665021
Col1a2,-0.206837611
Zfp469,-0.212714337
Tpcn2,-0.218469444
Sox2,-0.219567229
Dnah11,-0.225495916
Epha5,-0.239301448
Ep300,-0.241353751
Myh8,-0.262707269
Thsd7a,-0.288255865
Obscn,-0.295579906
Lama2,-0.30896836
Dnah5,-0.311621739
Zmat3,-0.323086168
Dmd,-0.329210495
Crebbp,-0.340823866
Dnah9,-0.342950324
Col11a1,-0.369388112
Herc2,-0.377485008
Lrp2,-0.37881918
Col6a6,-0.384726765
Fat4,-0.391206388
Cubn,-0.392941928
Csmd2,-0.39528147
Kdr,-0.435283886
Lrp1b,-0.456198476
Adgrv1,-0.457848615
Ank2,-0.467630224
Abca13,-0.475670189
D630045J12Rik,-0.494807089
Adgrl3,-0.498432509
Pappa2,-0.501753897
Fgf4,-0.503961527
Dnah6,-0.541444526
Macf1,-0.557055773
Fmn2,-0.56896732
Scn9a,-0.570446776
Csmd3,-0.574191489
Apob,-0.598338315
Shank2,-0.61684419
Dgkb,-0.618315504
Muc16,-0.680009808
Dnah17,-0.683868007
Mgam,-0.707768609
Fat2,-0.719056147
Muc3,-0.723438341
Tnxb,-0.726038183
Rp1,-0.741981487
Ryr1,-0.745830354
Csmd1,-0.758702189
Lama5,-0.77526122
Col6a3,-0.782813271
Muc5b,-0.789046071
Lrp1,-0.793099052
Cacna1e,-0.845732654
Epha7,-0.853311988
Syne2,-0.854533093
Ccnd1,-0.866734171
Cttn,-0.871425449
Hras,-0.879508538
Pik3cg,-0.893851374
Dnah8,-0.906611061
Ryr2,-0.916949171
Reln,-0.949728003
Neb,-0.95309368
Aspm,-0.971691885
Dst,-0.978816942
Tnni3k,-0.983060489
Col4a4,-0.986079334
Dnah7a,-1.016378613
Col6a5,-1.042691047
Ano1,-1.054447028
Ptprd,-1.072412274
Syne1,-1.080413481
Dnah3,-1.0919282
Flg,-1.142906561
Prkdc,-1.158166622
Cdkn2b,-1.184281293
Tenm1,-1.359978459
Fbxw7,-1.372532179
Sis,-1.434712195
Cdkn2a,-1.538642974
Pik3ca,-1.538806386
Nsd1,-1.57394672
Fadd,-1.586076879
Pclo,-1.713422532
Casp8,-1.757413616
Ppfia1,-1.898297741
Plec,-2.052874905
Oraov1,-2.153592877
Huwe1,-2.854027543
Mdn1,-3.435676145
Trp63,-4.69898956
