"gRNA","RNA_snn_res.0.1","n","cluster"
"Abca13",0,242,"0"
"Abca13",1,324,"1"
"Abca13",2,292,"2"
"Abca13",3,69,"3"
"Abca13",4,96,"4"
"Abca13",5,78,"5"
"Abca13",6,26,"6"
"Abca13",7,19,"7"
"Abca13",8,5,"8"
"Adgrb3",0,240,"0"
"Adgrb3",1,166,"1"
"Adgrb3",2,156,"2"
"Adgrb3",3,100,"3"
"Adgrb3",4,71,"4"
"Adgrb3",5,33,"5"
"Adgrb3",6,10,"6"
"Adgrb3",7,10,"7"
"Adgrb3",8,6,"8"
"Adgrl2",0,135,"0"
"Adgrl2",1,97,"1"
"Adgrl2",2,72,"2"
"Adgrl2",3,44,"3"
"Adgrl2",4,27,"4"
"Adgrl2",5,24,"5"
"Adgrl2",6,6,"6"
"Adgrl2",7,2,"7"
"Adgrl2",8,4,"8"
"Adgrl3",0,161,"0"
"Adgrl3",1,137,"1"
"Adgrl3",2,134,"2"
"Adgrl3",3,57,"3"
"Adgrl3",4,37,"4"
"Adgrl3",5,14,"5"
"Adgrl3",6,5,"6"
"Adgrl3",7,5,"7"
"Adgrl3",8,3,"8"
"Adgrv1",0,254,"0"
"Adgrv1",1,210,"1"
"Adgrv1",2,194,"2"
"Adgrv1",3,88,"3"
"Adgrv1",4,66,"4"
"Adgrv1",5,52,"5"
"Adgrv1",6,19,"6"
"Adgrv1",7,8,"7"
"Adgrv1",8,4,"8"
"Aff3",0,177,"0"
"Aff3",1,194,"1"
"Aff3",2,155,"2"
"Aff3",3,54,"3"
"Aff3",4,54,"4"
"Aff3",5,28,"5"
"Aff3",6,8,"6"
"Aff3",7,5,"7"
"Ahnak",0,319,"0"
"Ahnak",1,300,"1"
"Ahnak",2,382,"2"
"Ahnak",3,102,"3"
"Ahnak",4,92,"4"
"Ahnak",5,80,"5"
"Ahnak",6,27,"6"
"Ahnak",7,21,"7"
"Ahnak",8,3,"8"
"Ahnak2",0,348,"0"
"Ahnak2",1,349,"1"
"Ahnak2",2,275,"2"
"Ahnak2",3,121,"3"
"Ahnak2",4,113,"4"
"Ahnak2",5,55,"5"
"Ahnak2",6,20,"6"
"Ahnak2",7,10,"7"
"Ahnak2",8,19,"8"
"Akap9",0,162,"0"
"Akap9",1,174,"1"
"Akap9",2,172,"2"
"Akap9",3,57,"3"
"Akap9",4,62,"4"
"Akap9",5,28,"5"
"Akap9",6,9,"6"
"Akap9",7,11,"7"
"Akap9",8,1,"8"
"Ank2",0,187,"0"
"Ank2",1,233,"1"
"Ank2",2,170,"2"
"Ank2",3,84,"3"
"Ank2",4,78,"4"
"Ank2",5,46,"5"
"Ank2",6,14,"6"
"Ank2",7,8,"7"
"Ank2",8,1,"8"
"Ano1",0,142,"0"
"Ano1",1,132,"1"
"Ano1",2,122,"2"
"Ano1",3,45,"3"
"Ano1",4,61,"4"
"Ano1",5,24,"5"
"Ano1",6,10,"6"
"Ano1",7,6,"7"
"Apob",0,111,"0"
"Apob",1,136,"1"
"Apob",2,121,"2"
"Apob",3,53,"3"
"Apob",4,28,"4"
"Apob",5,27,"5"
"Apob",6,5,"6"
"Apob",7,7,"7"
"Apob",8,4,"8"
"Aspm",0,168,"0"
"Aspm",1,192,"1"
"Aspm",2,168,"2"
"Aspm",3,49,"3"
"Aspm",4,45,"4"
"Aspm",5,27,"5"
"Aspm",6,11,"6"
"Aspm",7,10,"7"
"Aspm",8,3,"8"
"Cacna1e",0,253,"0"
"Cacna1e",1,181,"1"
"Cacna1e",2,219,"2"
"Cacna1e",3,84,"3"
"Cacna1e",4,63,"4"
"Cacna1e",5,31,"5"
"Cacna1e",6,12,"6"
"Cacna1e",7,12,"7"
"Cacna1e",8,2,"8"
"Casp8",0,98,"0"
"Casp8",1,86,"1"
"Casp8",2,74,"2"
"Casp8",3,38,"3"
"Casp8",4,35,"4"
"Casp8",5,20,"5"
"Casp8",6,6,"6"
"Casp8",7,9,"7"
"Ccnd1",0,199,"0"
"Ccnd1",1,171,"1"
"Ccnd1",2,120,"2"
"Ccnd1",3,40,"3"
"Ccnd1",4,33,"4"
"Ccnd1",5,18,"5"
"Ccnd1",6,8,"6"
"Ccnd1",7,3,"7"
"Ccnd1",8,1,"8"
"Cdh10",0,192,"0"
"Cdh10",1,190,"1"
"Cdh10",2,144,"2"
"Cdh10",3,65,"3"
"Cdh10",4,48,"4"
"Cdh10",5,39,"5"
"Cdh10",6,8,"6"
"Cdh10",7,9,"7"
"Cdh2",0,441,"0"
"Cdh2",1,272,"1"
"Cdh2",2,308,"2"
"Cdh2",3,93,"3"
"Cdh2",4,113,"4"
"Cdh2",5,52,"5"
"Cdh2",6,29,"6"
"Cdh2",7,19,"7"
"Cdh2",8,3,"8"
"Cdkn2a",0,81,"0"
"Cdkn2a",1,113,"1"
"Cdkn2a",2,82,"2"
"Cdkn2a",3,37,"3"
"Cdkn2a",4,27,"4"
"Cdkn2a",5,11,"5"
"Cdkn2a",6,2,"6"
"Cdkn2a",7,1,"7"
"Cdkn2a",8,2,"8"
"Cdkn2b",0,95,"0"
"Cdkn2b",1,101,"1"
"Cdkn2b",2,89,"2"
"Cdkn2b",3,28,"3"
"Cdkn2b",4,35,"4"
"Cdkn2b",5,25,"5"
"Cdkn2b",6,6,"6"
"Cdkn2b",7,6,"7"
"Cdkn2b",8,1,"8"
"Cfh",0,297,"0"
"Cfh",1,218,"1"
"Cfh",2,156,"2"
"Cfh",3,74,"3"
"Cfh",4,73,"4"
"Cfh",5,47,"5"
"Cfh",6,11,"6"
"Cfh",7,7,"7"
"Cfh",8,4,"8"
"Col11a1",0,170,"0"
"Col11a1",1,169,"1"
"Col11a1",2,112,"2"
"Col11a1",3,60,"3"
"Col11a1",4,48,"4"
"Col11a1",5,22,"5"
"Col11a1",6,4,"6"
"Col11a1",7,7,"7"
"Col11a1",8,1,"8"
"Col1a2",0,204,"0"
"Col1a2",1,179,"1"
"Col1a2",2,139,"2"
"Col1a2",3,70,"3"
"Col1a2",4,57,"4"
"Col1a2",5,27,"5"
"Col1a2",6,8,"6"
"Col1a2",7,11,"7"
"Col1a2",8,4,"8"
"Col22a1",0,337,"0"
"Col22a1",1,255,"1"
"Col22a1",2,156,"2"
"Col22a1",3,164,"3"
"Col22a1",4,71,"4"
"Col22a1",5,34,"5"
"Col22a1",6,13,"6"
"Col22a1",7,11,"7"
"Col22a1",8,5,"8"
"Col4a4",0,147,"0"
"Col4a4",1,200,"1"
"Col4a4",2,129,"2"
"Col4a4",3,57,"3"
"Col4a4",4,36,"4"
"Col4a4",5,19,"5"
"Col4a4",6,9,"6"
"Col4a4",7,10,"7"
"Col6a3",0,389,"0"
"Col6a3",1,255,"1"
"Col6a3",2,216,"2"
"Col6a3",3,126,"3"
"Col6a3",4,76,"4"
"Col6a3",5,59,"5"
"Col6a3",6,16,"6"
"Col6a3",7,8,"7"
"Col6a3",8,7,"8"
"Col6a5",0,122,"0"
"Col6a5",1,167,"1"
"Col6a5",2,106,"2"
"Col6a5",3,40,"3"
"Col6a5",4,33,"4"
"Col6a5",5,23,"5"
"Col6a5",6,8,"6"
"Col6a5",7,5,"7"
"Col6a6",0,294,"0"
"Col6a6",1,315,"1"
"Col6a6",2,213,"2"
"Col6a6",3,115,"3"
"Col6a6",4,66,"4"
"Col6a6",5,38,"5"
"Col6a6",6,14,"6"
"Col6a6",7,8,"7"
"Col6a6",8,4,"8"
"Crebbp",0,111,"0"
"Crebbp",1,99,"1"
"Crebbp",2,107,"2"
"Crebbp",3,47,"3"
"Crebbp",4,51,"4"
"Crebbp",5,18,"5"
"Crebbp",6,5,"6"
"Crebbp",7,4,"7"
"Crebbp",8,2,"8"
"Csmd1",0,234,"0"
"Csmd1",1,212,"1"
"Csmd1",2,155,"2"
"Csmd1",3,73,"3"
"Csmd1",4,61,"4"
"Csmd1",5,43,"5"
"Csmd1",6,11,"6"
"Csmd1",7,14,"7"
"Csmd1",8,9,"8"
"Csmd2",0,305,"0"
"Csmd2",1,292,"1"
"Csmd2",2,227,"2"
"Csmd2",3,108,"3"
"Csmd2",4,102,"4"
"Csmd2",5,54,"5"
"Csmd2",6,18,"6"
"Csmd2",7,5,"7"
"Csmd2",8,15,"8"
"Csmd3",0,184,"0"
"Csmd3",1,209,"1"
"Csmd3",2,173,"2"
"Csmd3",3,63,"3"
"Csmd3",4,54,"4"
"Csmd3",5,26,"5"
"Csmd3",6,9,"6"
"Csmd3",7,3,"7"
"Csmd3",8,2,"8"
"Cttn",0,205,"0"
"Cttn",1,170,"1"
"Cttn",2,124,"2"
"Cttn",3,59,"3"
"Cttn",4,51,"4"
"Cttn",5,29,"5"
"Cttn",6,8,"6"
"Cttn",7,5,"7"
"Cttn",8,2,"8"
"Cubn",0,119,"0"
"Cubn",1,160,"1"
"Cubn",2,105,"2"
"Cubn",3,52,"3"
"Cubn",4,43,"4"
"Cubn",5,18,"5"
"Cubn",6,6,"6"
"Cubn",7,7,"7"
"D630045J12Rik",0,285,"0"
"D630045J12Rik",1,287,"1"
"D630045J12Rik",2,254,"2"
"D630045J12Rik",3,140,"3"
"D630045J12Rik",4,81,"4"
"D630045J12Rik",5,51,"5"
"D630045J12Rik",6,18,"6"
"D630045J12Rik",7,11,"7"
"D630045J12Rik",8,7,"8"
"Dgkb",0,136,"0"
"Dgkb",1,165,"1"
"Dgkb",2,110,"2"
"Dgkb",3,50,"3"
"Dgkb",4,27,"4"
"Dgkb",5,25,"5"
"Dgkb",6,6,"6"
"Dgkb",7,7,"7"
"Dgkb",8,1,"8"
"Dmd",0,248,"0"
"Dmd",1,209,"1"
"Dmd",2,211,"2"
"Dmd",3,77,"3"
"Dmd",4,52,"4"
"Dmd",5,52,"5"
"Dmd",6,15,"6"
"Dmd",7,10,"7"
"Dmd",8,5,"8"
"Dnah10",0,255,"0"
"Dnah10",1,198,"1"
"Dnah10",2,214,"2"
