sgRNA	Gene	IgG_1_2	IgG_2_2	IgG_3_2	IgG_4_2	IgG_5_2	IgG_6_2	TNF_1_2	TNF_2_2	TNF_3_2	TNF_4_2	TNF_5_2	TNF_6_2	CD48_1_2	CD48_2_2	CD48_3_2	CD48_4_2	CD48_5_2	CD48_6_2	CD115_1_2	CD115_2_2	CD115_3_2	CD115_4_2	CD115_5_2	CD115_6_2	IgG_1_1	IgG_2_1	IgG_3_1	IgG_4_1	IgG_5_1	IgG_6_1	IgG_7_1	IgG_8_1	CD115_1_1	CD115_2_1	CD115_3_1	CD115_4_1	CD115_5_1	CD115_6_1	CD115_7_1	CD115_8_1	CD48_1_1	CD48_2_1	CD48_3_1	CD48_4_1	CD48_5_1	CD48_6_1	TNF_1_1	TNF_2_1	TNF_3_1	TNF_4_1	TNF_5_1	TNF_6_1
ctrl_sgRNA.45	ctrl	461	50	312	514	4021	3229	125	124	48	93	8167	673	4143	14	57	2802	564	6461	8889	137	10142	23491	2281	248	14612	26769	1474	1591	322	3155	155	267	84185	1496	41889	24024	17572	1069	103081	114323	2683	246	766	932	4443	2169	877	8846	78	3115	403	6827
ctrl_sgRNA.28	ctrl	8568	28740	21656	33024	160646	16251	2938	26072	4881	11899	34036	3543	14322	24913	11518	7524	3640	12433	7538	483	41304	7055	6895	2774	25807	8962	660	1106	23	306	11	700	320	302	9372	46844	345	289	14639	48107	194	3269	2201	4630	2414	1128	72	11262	38	4254	125	214
ctrl_sgRNA.42	ctrl	202	294	996	564	66414	149	229	730	103	2355	13021	467	4762	8276	25925	133	219	20144	2661	41	8155	179	186	97	12955	35059	1532	2085	3374	6945	504	573	18795	25176	19835	54185	3758	1633	170337	163257	18543	533	1165	1968	202	1223	188	11082	2811	1420	574	4394
ctrl_sgRNA.22	ctrl	471	1018	2530	1806	9032	2853	190	2447	133	456	5149	12676	1160	1761	1654	519	5838	6417	6427	129	14242	183	2747	283	95481	18452	3309	15928	653	3489	1400	34794	10448	1460	7828	2491	1229	537	74402	30077	72357	1219	171281	8523	1253	960	1861	8172	919	5184	351	4390
ctrl_sgRNA.17	ctrl	1990	339	17	48	799	25	2559	10147	95	181	100	9515	10614	20930	148	35	74	668	616	217	7	663	342	972	222669	29862	1849	8861	1420	3379	74	1047	95067	737	5191	14823	4840	572	68018	23376	175107	3612	1307	5299	3554	251	650	7830	293	515	101	64
ctrl_sgRNA.43	ctrl	715	2685	3597	2114	13077	1159	177	1734	878	2795	9112	6800	1367	5001	2200	4030	226	887	25	47	9087	1944	1034	200	149370	46097	1045	6287	365	2081	2464	14694	86147	21466	13221	5550	1454	505	13986	42719	24273	5216	2661	4113	1304	134	89	17045	148	1717	40	3295
ctrl_sgRNA.31	ctrl	439	433	392	146	120250	174	5	4	21	1644	5024	14	1	1	7	375	104	2	1519	5	2587	4	227	8	31922	1887	240	1357	557	6396	110	548	74202	879	12204	17418	7589	707	81812	96446	612	76	501	739	1156	1000	129	5493	63	717	90	2412
ctrl_sgRNA.26	ctrl	229	232	882	100	77600	829	64	15	369	141	16677	1070	11	6	131	675	102	4759	1083	212	123992	359	394	168	58086	10925	3802	3135	643	1601	23	470	13198	296	9699	34472	2385	1001	9489	284295	648	1766	430	85264	1859	1527	2443	9794	2029	5820	144	476
ctrl_sgRNA.27	ctrl	322	1143	985	1977	2458	3574	130	752	261	626	30198	548	252	1598	90	88	802	8838	2554	23	2517	540	260	93	59366	14798	7194	5156	874	2809	247	35779	4391	397	10357	64993	3536	240	18151	7452	6419	4154	264	9815	6212	3239	119	10056	1152	4023	367	28923
ctrl_sgRNA.38	ctrl	166	252	239	88	11625	31343	20	5	12	34	1317	31	3644	5874	109	1151	3878	4148	14707	177	10197	33	1089	2817	219840	17163	19364	16427	1230	3608	153	5628	51299	7617	17303	60714	17977	2073	54353	445156	52712	37001	5937	84660	14800	3655	998	8654	610	5907	133	4302
ctrl_sgRNA.20	ctrl	373	4	383	156	25	14	74	28	121	73	23172	4913	6969	1401	87	1735	56	4232	4031	88	41121	29397	911	266	44947	15966	2392	13386	1516	6669	235	3273	71806	42894	65723	12471	8037	2433	81423	542857	4509	1427	2031	295158	4925	897	4823	48797	143	3333	348	13966
ctrl_sgRNA.2	ctrl	210	565	598	741	3212	6	79	886	29	495	1556	236	3791	17	616	4437	281	547	392	237	5711	1581	207	206	26633	3584	192	1044	3818	2662	1194	17584	2210	9648	2806	6034	2287	75	51	200	31929	205	229	1149	1891	244	807	2768	37	90	268	38
ctrl_sgRNA.3	ctrl	175	154	408	170	106716	872	99	538	57	48	11351	644	1	1	9	705	99	598	4	7	752	568	229	44	62	5550	56	528	97	1373	78	16503	2980	12939	8344	26745	844	155	62	8695	30866	5393	283	1457	1163	4296	1088	6975	22	853	103	1419
ctrl_sgRNA.15	ctrl	413	379	941	305	234160	4261	641	1892	288	2980	77164	103	1096	8	56	4559	1417	3374	4573	45	23156	5240	613	57	35947	42144	9443	13113	2155	6201	765	32604	28029	3179	94154	201539	5037	3712	114510	905741	126085	4277	2488	158478	2592	1344	660	22145	4031	7162	313	1961
ctrl_sgRNA.41	ctrl	412	980	962	2970	6948	845	331	3041	175	834	4608	323	326	3223	1041	462	511	4065	1231	39	938	178	719	160	106072	11403	3341	3538	803	4929	46	353	72300	1125	2080	59593	903	307	18172	33804	1307	398	431	82508	1008	95	939	8291	81	2147	152	177
ctrl_sgRNA.35	ctrl	420	146	87	0	13	2	4	5	29	79	5643	394	2	2	53	620	130	1	1244	320	15127	26	805	21	25819	13039	335	6351	2621	1113	75	403	514	13081	58096	5926	1945	1273	80481	292787	183	2341	629	1551	5931	1269	488	9010	622	789	126	7791
ctrl_sgRNA.21	ctrl	140	3	298	100	14	1168	25	20	71	6439	15277	20	140	4	39	5823	18	15	2338	110	16646	180	421	35	1687	36235	2865	8241	3493	1153	457	762	45023	539	10372	7970	11655	986	10432	177687	28122	415	294	2121	2887	1849	791	19042	100	6005	444	4007
ctrl_sgRNA.37	ctrl	326	147	706	174	173558	250	45	12	48	13	4438	3660	10652	1686	675	924	434	9147	17946	359	17446	39	433	66	71078	57041	1512	4377	1214	9391	3449	633	1381	943	33797	129382	6007	908	9234	167173	135005	959	960	5612	6953	1785	391	3043	859	1255	228	3207
ctrl_sgRNA.44	ctrl	651	2056	1104	2685	19526	31988	329	2561	236	629	50848	613	6237	1454	326	5510	330	7691	6518	225	13154	128	182	277	59393	60285	3472	6308	5522	18727	3518	5417	10765	25255	80624	172626	6906	1932	41752	245054	273549	72022	2727	13844	9933	4585	1880	34469	1507	5064	830	13349
ctrl_sgRNA.50	ctrl	39	59	32	15	1261	2	50	6	167	302	11998	130	11	4	344	8776	23	8	3867	8	27	764	831	211	12305	5215	672	1270	561	2493	708	17754	24340	16920	26965	115656	4028	591	498	104380	232353	24639	1462	9389	2885	987	120	22056	986	4427	428	372
ctrl_sgRNA.24	ctrl	232	306	354	255	60290	1791	110	98	3585	18351	31909	80	9487	51112	8895	111	1088	4075	22234	429	134	83	372	1814	102713	23376	1609	4544	2032	7616	2786	5277	116316	36340	18896	45434	6629	2627	122725	481730	46509	5549	1153	5275	3080	250	1716	11411	581	5517	606	18123
ctrl_sgRNA.13	ctrl	282	139	366	105	83342	130	73	15	1635	2153	5208	1590	43	708	37	3468	1106	217	20318	96	15935	2712	6322	163	13648	23583	8998	3278	5605	2413	69	692	41588	8485	8411	160538	1385	1142	2263	261350	407	288	176	10006	2384	181	821	24067	1801	5358	456	3431
