"","IgG_1_2","IgG_2_2","IgG_3_2","IgG_4_2","IgG_5_2","IgG_6_2","TNF_1_2","TNF_2_2","TNF_3_2","TNF_4_2","TNF_5_2","TNF_6_2","CD48_1_2","CD48_2_2","CD48_3_2","CD48_4_2","CD48_5_2","CD48_6_2","CD115_1_2","CD115_2_2","CD115_3_2","CD115_4_2","CD115_5_2","CD115_6_2","IgG_1_1","IgG_2_1","IgG_3_1","IgG_4_1","IgG_5_1","IgG_6_1","IgG_7_1","IgG_8_1","CD115_1_1","CD115_2_1","CD115_3_1","CD115_4_1","CD115_5_1","CD115_6_1","CD115_7_1","CD115_8_1","CD48_1_1","CD48_2_1","CD48_3_1","CD48_4_1","CD48_5_1","CD48_6_1","TNF_1_1","TNF_2_1","TNF_3_1","TNF_4_1","TNF_5_1","TNF_6_1"
"ctrl_sgRNA.45",3254.68881304247,508.780026152899,1250.23387498562,5459.35936937346,1431.08485277374,3806.9781615894,1808.42421866135,1370.38760127164,572.995601226083,313.293801227049,783.217553274628,1842.77073014165,2718.84624912534,53.4174625963663,472.403144304797,4960.20074076074,2335.87608243712,2998.25236848443,3781.00167665357,2544.53201603447,2492.09264303132,73839.4336036393,4533.70573024114,2469.17906408148,459.694078710425,2072.94350811422,1392.14161375421,398.947989071554,416.687153862906,1023.54867802215,666.48951295359,251.669497374438,3124.56857489372,433.559103893534,3315.01693423319,805.55896818463,5002.47554778624,1268.6051463044,5497.89930341822,783.847414169775,283.940961970166,334.274004437194,1330.31779767863,268.354541241284,2077.72243775418,4007.6520861452,1705.85019297004,1279.61995388868,307.052304197282,1779.0253383063,2118.07699571169,3037.25231283152
"ctrl_sgRNA.28",60490.6155100822,292446.759032686,86779.0538355406,350758.52882138,57174.3489825142,19159.8643864941,42505.2028354164,288135.044680275,58266.4901996773,40084.7628043082,3264.0617905296,9701.24323460901,9398.82113926457,95056.3746902338,95458.5862474149,13319.2542375031,15075.5123050906,5769.58237074244,3206.3438675458,8970.86834850109,10149.2205213731,22176.0335478981,13704.4721657223,27618.9625958146,811.889206767037,694.001259655558,623.34699123323,277.332794414292,29.7633681330647,99.2728670284562,47.2992557579967,659.807671019126,11.8769607883351,87.523295037331,741.682511103953,1570.7460999684,98.2161429539184,342.962476409702,780.781597993222,329.84218008157,20.5309528968365,4442.03951424874,3822.49278419146,1333.13468449264,1128.8818286605,2084.20080828575,140.0469941777,1629.10693202513,149.589584096112,2429.52609603692,656.971772863427,95.2060927121643
"ctrl_sgRNA.42",1426.1326252377,2991.62655377904,3991.13121630026,5990.42545588839,23636.9235046294,175.67040758031,3313.03316858759,8067.60442684109,1229.5530609643,7933.40754720109,1248.71749249283,1278.71312180706,3125.06537251626,31577.3514605377,214860.552914068,235.441362784146,907.015712861222,9347.90213755615,1131.87596597763,761.5022821709,2003.84692407024,562.652020563256,369.692795188449,965.767617806062,407.564795352693,2714.90628902747,1446.92059177168,522.819960536888,4366.15669917219,2253.10477618506,2167.16590018458,540.099707848513,697.58586880237,7296.31283397299,1569.70471700244,1816.90029516667,1069.84424701688,1937.91599992057,9085.04645517942,1119.35986017787,1962.3992761136,724.260342947255,2023.26401344073,566.654224423655,94.46318533116,2259.73190472825,365.678262575106,1603.06899491231,11065.6926551097,810.984263369163,3016.81438098886,1954.83911858528
"ctrl_sgRNA.22",3325.28943805424,10358.761332473,10138.1144349796,19182.1070449192,3214.51340220154,3363.67565655452,2748.80481236525,27043.0520992879,1587.6753117306,1536.15025117779,493.790520608676,34708.7099186858,761.250699730966,6719.15368801436,13707.9789593006,918.752385601293,24178.80242778,2977.83399606324,2733.77182763556,2395.94620487917,3499.54480596057,575.225250073049,5459.92531388532,2817.65191586717,3003.83591085068,1428.88989546578,3125.23514241024,3993.99344433168,845.020843082229,1131.90533680485,6019.90527829049,32796.2115791992,387.782769739142,423.125863425507,619.493245510216,83.526781125038,349.877216493813,637.26937658135,3968.2842034218,206.220783884121,7657.51628224946,1656.42281060545,297464.964365787,2454.06196888354,585.952332771998,1773.78792194532,3619.82578006528,1182.1223449218,3617.70599432439,2960.66367697587,1844.7767382005,1953.05956545047
"ctrl_sgRNA.17",14049.5243773417,3449.52857731665,68.1217175472936,509.823443054331,284.366276390504,29.4749006007231,37022.0606044352,112139.701533091,1134.05379409329,609.743849699956,9.59002758999177,26053.4375888526,6965.44390253834,79859.1065815676,1226.59062030017,61.958253364249,306.480195213381,309.988017667172,262.020140940331,4030.39012758745,1.72004027817188,2084.01279124826,679.757720185213,9677.58891244837,7005.17525406321,2312.45989911117,1746.31604059128,2221.92214403711,1837.56446734573,1096.21901205606,318.194993281069,986.883759367178,3528.45947270205,213.591617359314,410.806008871172,497.036321403628,1377.87284607816,678.804624589445,3627.78897003231,160.27586009493,18531.5132417853,4908.12074807783,2269.87645113051,1525.76256870983,1661.99089439081,463.77163375862,1264.31314188202,1132.65026440745,1153.41442474107,294.124574390929,530.833192473649,28.472850156909
"ctrl_sgRNA.43",5047.94468834136,27321.4874044107,14413.7540010362,22453.4741378512,4654.13992034871,1366.45639184952,2560.72869362447,19163.323391976,10481.0445390938,9415.65778956562,873.84331400005,18619.3773625011,897.094574596751,19081.4807460306,18233.1038152729,7134.05031594068,936.007082678704,411.615825854463,10.6339342914095,872.941640537373,2232.85800110684,6110.5895417596,2055.17392594009,1991.27343877539,4699.18591137258,3569.66927765479,986.966069452614,1576.48397692826,472.331711676897,675.120380020318,10595.0332897913,13850.3055970786,3197.3891907272,6221.10944129585,1046.28515570907,186.099411980715,413.931222768108,599.294292688234,745.953373149341,292.899746209587,2568.80319414903,7087.69596400165,4621.37814572171,1184.27277695858,609.801948870459,247.591230771534,173.113645580768,2465.6479893774,582.61206437433,980.605619862573,210.230967316297,1465.90689479711
"ctrl_sgRNA.31",3099.36743801658,4406.0350264841,1570.80666344348,1550.71297262359,42797.3025481328,205.145308181033,72.336968746454,44.2060516539238,250.685575536411,5538.22590556203,481.802986121186,38.3340122169139,0.65625060321635,3.81553304259759,58.0144212304136,663.838428902668,430.72892300259,0.928107837326862,646.117847546043,92.866131972061,635.67774280438,12.5732295097934,451.184217783753,79.6509375510154,1004.26734058268,146.12590682549,226.67163317572,340.271792061658,720.791132613784,2074.99757357518,472.992557579967,516.535148169258,2754.04451380013,254.744954760973,965.801682192984,584.050370789206,2160.47046051387,839.012009763528,4363.5018850346,661.275051450873,64.7677483137315,103.271643647263,870.090361144899,212.783268215997,540.591298231787,1847.69575202637,250.917531235046,794.591047559406,248.003784159343,409.489941433585,473.019676461668,1073.07054028851
"ctrl_sgRNA.26",1616.75431276947,2360.73932134945,3534.31499274782,1062.13217302986,27618.0513740965,977.387703919979,925.913199954611,165.772693702214,4404.90368442551,474.993827666817,1599.32890118293,2929.81379086414,7.21875663537985,22.8931982555856,1085.69845445488,1194.9091720248,422.445674483309,2208.43259891927,460.662033503861,3937.52399561538,30467.3191672983,1128.44734850396,783.112695184134,1672.66968857132,1827.38778100012,846.012470624522,3590.8564555587,786.110588145393,832.080248241766,519.398235661955,98.8984438576295,443.013721969984,489.850401513897,85.7844216259933,767.560678104699,1155.89530266652,678.972466507523,1187.90809303153,506.102642486351,1949.24818812834,68.5776158615981,2399.70687738246,746.784142300014,24550.4094467777,869.341888765478,2821.43141334427,4751.87231633502,1416.7530893495,7987.29647713186,3323.89324845671,756.831482338668,211.76682304201
"ctrl_sgRNA.27",2273.3401253789,11630.7113978553,3947.05245788731,20998.3530608003,874.808895328984,4213.73178987938,1880.7611874078,8310.73771093767,3115.66358166682,2108.83784481863,2895.99653162571,1500.5027639192,165.37515201052,6097.22180207095,745.89970153389,155.780751315826,3321.58265623151,4101.3085331474,1086.3627272104,427.18420707148,618.477340022661,1697.38598382211,516.774874994606,925.942149030554,1867.65662994272,1145.9306673045,6794.4822044422,1292.8823580471,1131.00798905646,911.298965630501,1062.08328838411,33724.6552305618,162.974171317436,115.055457383511,819.63356460773,2179.30794285813,1006.64429415958,284.813129198369,968.096644933054,51.0941011904268,679.320549715429,5644.61062777279,458.490729226055,2826.07277069013,2904.97676869884,5984.68654081342,231.466559821477,1454.65275336927,4534.9263389137,2297.59837431982,1928.86912512702,12867.5038295043
"ctrl_sgRNA.38",1171.97037519534,2564.25133181061,957.711205517833,934.676312266274,4137.36916525608,36953.2723811386,289.347874985816,55.2575645674047,143.248900306521,114.537518728169,126.300663360192,84.8824556231666,2391.37719812038,22412.4410922183,903.367416302155,2037.54141777859,16061.218878885,1924.89565461591,6255.7308649504,3287.46107181096,2505.60724521696,103.729143455796,2164.49168795818,28047.0863851513,6916.17480589241,1329.07203966395,18288.6229367277,4119.11918069039,1591.69316537694,1170.51145176036,657.889648270318,5304.85367499377,1903.98816087751,2207.49979569321,1369.32698352878,2035.82697279227,5117.77275907997,2460.07340345091,2898.95636284757,3052.1800469036,5578.4927273095,50278.3432446367,10310.8312856632,24376.4972762737,6921.06506386717,6753.3279736564,1941.20694707423,1251.84615430167,2401.30648154285,3373.58031248003,699.017966326687,1913.90939648472
