"","Atf3","Nr4a1","Ccn1","Hspa1a","Fos","Egr1","Fosb","Zfp36","Btg2","Jun","Dnajb1","Rhob","Hspa1b","Klf6","Socs3","Jund","Dusp1","Junb","Sfn","Ier2","Klf4","Gm26532","Ubc","Nfkbiz","Ppp1r15a","clones"
"Abca13",4.98617575618696,3.02053040722619,4.26246941395911,1.74281410501969,27.8848688519182,15.1796705591965,8.64735404940326,13.3988386286715,2.19287148436903,17.2719200012908,3.88762591222063,2.38750365793331,4.4061614636336,3.59887979096135,1.41661548832412,26.1957125144533,12.2294960259516,8.1243617340429,18.45483868253,4.01785689556645,8.64717082911928,1.7062059658925,10.3123661781164,1.46505438519289,0.895557813297884,7.91886323727459
"Adgrb3",3.67454830237323,2.10737245070161,3.07691212415865,3.2943555788154,25.6777751879305,18.3040566249388,6.99068711051738,14.6538315282562,2.43100840414756,17.4878576388303,3.57093020234591,2.73725416703542,5.91011001353936,2.78381179772733,1.02339022054819,30.2059986391769,12.8086192117569,10.043469923964,18.472102955089,4.74100122381963,7.80940227511804,1.57620477059065,12.5140329190866,1.40373119153824,0.821304473286457,7.90689059560852
"Adgrl2",6.05216221081648,3.28898565611837,3.75824243690659,2.61350060794273,28.2083561258218,19.5554645778816,9.41838355566271,18.3611089541885,2.97969167259251,20.6236850423446,4.43423347858381,3.16435288031585,4.37986075956169,3.3738532907392,1.60513925066894,34.4036684066182,12.4531964208105,13.5688502679071,20.2192852097123,6.10173101333571,6.26959454984415,2.14171119449496,13.2710660865084,1.38137276931231,1.06475433563381,7.07681559705083
"Adgrl3",4.19539241490789,2.85330524258225,4.27251052554253,1.70324668960521,27.3087331075994,19.1267009342739,8.10994991689125,15.4400907043412,2.46024809215217,18.3117165609979,3.19000667146173,1.96005351269396,4.1093664673956,3.27243506984667,0.810755482118309,28.4121849751951,12.0793132121439,10.9383267268105,16.7273046468096,4.28312089440412,10.4267385789062,2.08026643414949,9.95216204334752,1.43135560552753,0.692157382412047,7.33091687811462
"Adgrv1",4.8089772209004,3.11570179562293,3.76076510260606,2.56326056965023,29.4729306560192,21.9528015039873,9.04972493104311,18.7730649622944,3.20172860760807,20.9006590239804,5.39625576818757,3.28408027488763,5.30573360204754,3.21326545325186,1.36692953719459,36.4304066660014,15.5659202315011,11.5895784658973,20.9321260053591,6.31440312178376,7.72604552590535,1.7511288879707,11.0708646834311,1.7661626613238,0.602720856959355,7.98868468677217
"Aff3",1.93966366040068,1.66951915918276,3.44151538390853,2.59187794403951,21.5354453072339,13.2381432813194,4.80197484046981,10.0653215675078,1.82449751727492,13.857960450423,2.69227946306175,1.39814318884288,3.32302712420124,2.54080167581656,0.720338099614247,28.0603828153043,9.35342681318418,9.5791110051485,15.6692588332391,4.37324422021078,6.62391947592029,1.33860520986072,9.26837052789324,1.43127030611563,0.521826109267808,7.467605550083
"Ahnak",3.80974784888817,2.23933510325877,4.51002947502402,3.31019828944849,24.60389978755,16.046604423701,7.67263033418457,13.283159232669,2.00403957326251,16.4984736853497,3.57736829244159,1.67576935793786,5.21068181120531,3.00688716509109,1.01796802815799,25.3242691745092,11.3426246533441,8.41076532560931,17.0254561595505,4.06564216543048,7.6042814817288,1.36476138732222,9.53458618705553,1.02738435442693,0.785638592894357,8.31741261376487
"Ahnak2",2.79060436070857,2.10485899404609,3.25626283693655,2.30360312537093,25.1219714423843,19.9938869638055,6.11382127647291,14.0195893403561,2.27046295192553,19.0219187622993,3.38904284862491,2.62355214925421,3.95346771714527,2.72178030272493,0.834455636270203,34.6574415213769,12.6244274360881,11.5027728754884,16.1929991339847,4.22268610069086,6.95859519512169,1.8955121650907,9.60808938742987,1.1111663705302,1.0831860940473,8.44294349584873
"Akap9",3.62764968455558,1.61053245725526,3.28042502474999,1.16706743011704,21.5099537439894,12.6713574244956,5.81582072739248,11.098855108574,1.66250708440207,13.7516661468224,2.57185160518653,2.01605515901869,3.12156136937132,2.31743548091385,0.964588650796872,25.2882731346987,9.74424464819734,7.87796400777836,15.060681675909,4.4662808891864,7.13387142920861,1.76874724159423,8.47519268544903,1.21221618106224,0.513144715066407,7.33985000288462
"Ank2",2.33698224250549,1.2465931482018,2.51925131235624,1.52705853881339,20.9846361197425,14.5152341814884,6.52753063936778,12.705445568859,2.08051343386179,15.2500643450585,2.89104578694215,2.05164176478417,3.5295245789551,3.19186329707407,1.0045934111434,26.9795207768598,11.1883226138275,8.81619632108147,13.9510532729667,4.05626002777344,6.97027913136542,1.63850528479655,8.83336696135208,1.22076119893672,0.559812497823952,7.54689445988764
