"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","sample","fraction_overlap","overlap","padj"
"Epithelial Mesenchymal Transition","12/200",1.13918517780322e-07,4.55674071121287e-06,0,0,8.14285714285714,130.186228117746,"GREM1;POSTN;ECM1;NT5E;SPARC;CADM1;IGFBP4;TPM2;ID2;COL8A2;CCN2;PFN2","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.06,12,6.85789477037537e-06
"Angiogenesis","4/36",0.000219146004334105,0.00350967391520712,0,0,15.2793209876543,128.740080515825,"APP;POSTN;S100A4;FGFR1","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.111111111111111,4,0.00306804406067746
"IL-2/STAT5 Signaling","8/199",0.000263225543640534,0.00350967391520712,0,0,5.20723706011001,42.9206478901486,"ECM1;NT5E;ALCAM;S100A1;COL6A1;SLC39A8;PHLDA1;HOPX","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0402010050251256,8,0.00360140402890003
"Estrogen Response Early","6/200",0.00657087215776184,0.0438058143850789,0,0,3.79639175257732,19.077281250217,"IGFBP4;BAG1;ENDOD1;FLNB;AQP3;NBL1","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.03,6,0.0353184378479699
"Estrogen Response Late","6/200",0.00657087215776184,0.0438058143850789,0,0,3.79639175257732,19.077281250217,"IGFBP4;ID2;BAG1;FLNB;CXCL14;NBL1","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.03,6,0.0353184378479699
"Xenobiotic Metabolism","6/200",0.00657087215776184,0.0438058143850789,0,0,3.79639175257732,19.077281250217,"SLC6A6;IGFBP4;ID2;EPHX1;CAT;APOE","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.03,6,0.0353184378479699
"Reactive Oxygen Species Pathway","3/49",0.00782226736733688,0.0446986706704965,0,0,7.9173112830088,38.4051417316697,"PRDX1;CAT;MGST1","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0612244897959184,3,0.0399068216537017
"Myogenesis","5/200",0.0258581334107289,0.114925037381017,0,0,3.12772734511865,11.4322503287156,"APP;SPARC;FST;TPM2;BAG1","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.025,5,0.0885710383124718
"heme Metabolism","5/200",0.0258581334107289,0.114925037381017,0,0,3.12772734511865,11.4322503287156,"CAT;ENDOD1;CIR1;AQP3;NUDT4","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.025,5,0.0885710383124718
"Notch Signaling","2/32",0.0288594813350904,0.115437925340362,0,0,8.05040650406504,28.5412406009671,"TCF7L2;FZD7","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0625,2,0.0976034144029461
"UV Response Dn","4/144",0.0321504140943258,0.116910596706639,0,0,3.47336860670194,11.9391139333333,"FZD2;NFIB;ID1;PLPP3","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0277777777777778,4,0.101332718768503
"Pperoxisome","3/104",0.0557219332638227,0.185739777546076,0,0,3.59588167405698,10.3826819867765,"CADM1;PRDX1;CAT","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0288461538461538,3,0.160289643471518
"TGF-beta Signaling","2/54",0.0740434407642647,0.227825971582353,0,0,4.63930581613508,12.0765923755481,"ID2;ID1","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.037037037037037,2,0.1907404328976
"Apical Junction","4/200",0.0855053845698422,0.228014358852913,0,0,2.47392290249433,6.08381164854585,"ACTN1;ZYX;NRTN;CD34","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.02,4,0.204514995271424
"p53 Pathway","4/200",0.0855053845698422,0.228014358852913,0,0,2.47392290249433,6.08381164854585,"APP;VDR;EPHX1;S100A4","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.02,4,0.204514995271424
"Coagulation","3/138",0.107522349493506,0.268805873733766,0,0,2.68561690524881,5.98907757237633,"SPARC;CSRP1;S100A1","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0217391304347826,3,0.237972258805481
"Cholesterol Homeostasis","2/74",0.125816362276417,0.296038499473923,0,0,3.34722222222222,6.93856364513034,"GSTM2;ALCAM","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.027027027027027,2,0.262081142181326
"UV Response Up","3/158",0.144208779052561,0.315860339828077,0,0,2.33671086483277,4.52502464146041,"LHX2;EPHX1;AQP3","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0189873417721519,3,0.288807836021772
"Apoptosis","3/161",0.150033661418337,0.315860339828077,0,0,2.29199347674148,4.34767234264933,"APP;GSTM1;TIMP2","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0186335403726708,3,0.294202814898497
"Androgen Response","2/100",0.201606394935679,0.402467189690229,0,0,2.45594823295172,3.93304888123828,"ACTN1;SLC38A2","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.02,2,0.361672344221049
"TNF-alpha Signaling via NF-kB","3/200",0.231418634071882,0.402467189690229,0,0,1.83460496403102,2.68499378898596,"ID2;PLPP3;PHLDA1","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.015,3,0.379671831480584
"Hypoxia","3/200",0.231418634071882,0.402467189690229,0,0,1.83460496403102,2.68499378898596,"SLC6A6;S100A4;CCN2","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.015,3,0.379671831480584
"Myc Targets V1","3/200",0.231418634071882,0.402467189690229,0,0,1.83460496403102,2.68499378898596,"RPL14;RPS2;RPL6","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.015,3,0.379671831480584
"Pancreas Beta Cells","1/40",0.283739690105335,0.472899483508892,0,0,3.07614607614608,3.87501519910826,"VDR","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.025,1,0.426848888456847
"Apical Surface","1/44",0.307273295692106,0.49163727310737,0,0,2.78942917547569,3.29157583739075,"APP","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.0227272727272727,1,0.448977000016136
"Adipogenesis","2/200",0.496136033208416,0.640175526720537,0,0,1.20941118502094,0.84768250308521,"CAT;APOE","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.01,2,0.622237274982222
"Complement","2/200",0.496136033208416,0.640175526720537,0,0,1.20941118502094,0.84768250308521,"CSRP1;TIMP2","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.01,2,0.622237274982222
"mTORC1 Signaling","2/200",0.496136033208416,0.640175526720537,0,0,1.20941118502094,0.84768250308521,"SLC6A6;PRDX1","de/p60_de_up5_vs_middle5_downsample500_pct10_lfc0.1.csv",0.01,2,0.622237274982222
