"ko","pval","chisq","n","avg_fc","module","padj","lpadj","avg_lfc","lfc"
"Zfp831",0.182498699491839,52.312896846491,21,0.523406404507107,"cluster7green",0.697374257478475,0.156534087991573,-0.933996517283775,-0.4
"Zfp804b",0.99792513053496,21.8484994718623,17,0.949367442751825,"cluster7green",1,0,-0.0749615195100172,-0.0749615195100172
"Zfp78",0.985613081040704,26.0554357747804,21,0.967685075102793,"cluster7green",1,0,-0.0473904838648474,-0.0473904838648474
"Zfp469",0.999206368049443,20.2001663663883,21,0.831076204679047,"cluster7green",1,0,-0.266947325386355,-0.266947325386355
"Zfhx4",0.973428653579687,27.7541058989517,20,0.935518003236457,"cluster7green",1,0,-0.0961626777333938,-0.0961626777333938
"Xirp2",0.954885378760588,29.4331945081331,19,1.14747814762096,"cluster7green",1,0,0.19846667946125,0.19846667946125
"Vps13b",0.908648200569189,32.0989945811534,20,1.14972132670283,"cluster7green",1,0,0.201284218296702,0.201284218296702
"Vcan",0.875960782342998,33.4652905250473,19,0.713448993986429,"cluster7green",1,0,-0.487117802892263,-0.4
"Ush2a",0.996103332905261,23.0662919856304,22,0.930915169797908,"cluster7green",1,0,-0.103278387562874,-0.103278387562874
"Unc13c",0.00224520561720462,75.3839968572067,20,0.520394931447748,"cluster7green",0.0162633483810334,1.78879003477525,-0.94232118435127,-0.4
"Ttn",0.193568228326314,51.8815860385914,20,0.868176419316919,"cluster7green",0.734000328888373,0.13430374548669,-0.203939857042647,-0.203939857042647
"Trp53",0.82016376324397,35.3677959102974,21,1.05143837839334,"cluster7green",1,0,0.0723643005771518,0.0723643005771518
"Tpcn2",0.869778672417781,33.6976567369486,21,1.23859617398632,"cluster7green",1,0,0.308705894701518,0.308705894701518
"Tnxb",0.933508060985081,30.8266105928283,21,0.813608242520283,"cluster7green",1,0,-0.297593799931255,-0.297593799931255
"Tnni3k",0.00576860030476483,71.2493067037192,22,0.459353088356647,"cluster7green",0.0377104367030494,1.42353843824868,-1.12232456653677,-0.4
"Tet1",0.44917561224769,44.5337800180795,19,0.970139856176119,"cluster7green",1,0,-0.0437353524665939,-0.0437353524665939
"Tenm1",0.966585527530254,28.4532443413556,22,1.0792336466932,"cluster7green",1,0,0.110007232235666,0.110007232235666
"Syne2",0.834111967585977,34.9272959083859,20,0.575652041650526,"cluster7green",1,0,-0.796731070499859,-0.4
"Syne1",0.0072597341014344,70.2009652564179,20,1.83621440840238,"cluster7green",0.045866211455548,1.33850713106707,0.876734527095225,0.4
"Spta1",0.180345854811037,52.3989323828877,22,0.554244504680134,"cluster7green",0.69115102304036,0.16042704480135,-0.851405534007721,-0.4
"Sphkap",0.984122462712452,26.3132346281426,22,0.956462749285415,"cluster7green",1,0,-0.0642193129000865,-0.0642193129000865
"Spag17",0.977125519553322,27.3174184170534,18,0.989601778009401,"cluster7green",1,0,-0.0150800024923994,-0.0150800024923994
"Sox2",0.994167816677866,23.9144224880918,19,0.806395325858091,"cluster7green",1,0,-0.310440818377034,-0.310440818377034
"Slit2",0.716206528265222,38.2357956973559,22,0.566437577927484,"cluster7green",1,0,-0.820011116734628,-0.4
"Sis",0.115850486316627,55.4273485000671,22,1.81674084404922,"cluster7green",0.489147693040359,0.310559990389828,0.861352635493478,0.4
"Shank2",0.974125677780358,27.6754931500675,21,0.998127960816565,"cluster7green",1,0,-0.00270331279025299,-0.00270331279025299
"Scn9a",0.903105475484025,32.3503362001621,22,0.845236458839597,"cluster7green",1,0,-0.24257309636433,-0.24257309636433
"Ryr3",0.816109544596352,35.4924312619625,21,1.19367396331284,"cluster7green",1,0,0.255408836817265,0.255408836817265
"Ryr2",0.99564425612714,23.2947314957062,21,0.757603994951907,"cluster7green",1,0,-0.400484156528123,-0.4
"Ryr1",0.194872432143015,51.8319281196795,22,0.558879899609065,"cluster7green",0.736122702125715,0.133049788360072,-0.839389806191527,-0.4
"Runx1t1",0.0159498786220042,66.4617267258762,21,0.651354624479386,"cluster7green",0.0916886191134109,1.03768456796124,-0.618484874568193,-0.4
"Rp1",0.543357988589723,42.3305454466975,21,0.703014483980643,"cluster7green",1,0,-0.508373681902799,-0.4
"Ros1",0.312148738247097,48.0499956356934,21,0.650376385976849,"cluster7green",1,0,-0.620653218244039,-0.4
"Reln",0.433684074187015,44.9065246210514,22,0.509374441276598,"cluster7green",1,0,-0.97320152312092,-0.4
"Ptprd",0.0985898496505629,56.4579216509329,22,0.679893948877867,"cluster7green",0.428863519234367,0.36768089493379,-0.556618365230163,-0.4
"Prkdc",0.969358599028321,28.1842738819482,18,1.32736650127727,"cluster7green",1,0,0.408566770535942,0.4
"Prex2",0.58031428919605,41.4777940490359,19,0.951505983102709,"cluster7green",1,0,-0.0717153666429586,-0.0717153666429586
"Pkhd1",0.998410845874174,21.3678614489108,20,1.02857389845481,"cluster7green",1,0,0.0406454488014607,0.0406454488014607
"Pkhd1l1",0.99554084561395,23.3434057703743,20,0.713702939152985,"cluster7green",1,0,-0.486604381121522,-0.4
"Pik3cg",0.853191650175708,34.2906469379072,21,0.655001053962851,"cluster7green",1,0,-0.610430866793373,-0.4
"Peg3",0.456078637129351,44.3689818325702,21,1.01110534320058,"cluster7green",1,0,0.015933313952876,0.015933313952876
"Pclo",0.929087719648294,31.073931590079,21,0.933398136531698,"cluster7green",1,0,-0.0994355078286761,-0.0994355078286761
"Pcdh15",0.989385590551398,25.2923083396416,21,1.15774109139744,"cluster7green",1,0,0.211312655814071,0.211312655814071
"Pcdh11x",0.936648745851905,30.6439170450607,22,1.06914123071732,"cluster7green",1,0,0.0964524418304347,0.0964524418304347
